x,rho,P,vx,By
-0.07375,0.557868,0.0213547,0.341141,0.321556
-0.07125,0.548874,0.0209881,0.345612,0.303247
-0.06875,0.540192,0.0206669,0.349518,0.28431
-0.06625,0.532015,0.0204135,0.352709,0.26456
-0.06375,0.524766,0.020274,0.354899,0.243747
-0.06125,0.519388,0.0203534,0.355513,0.221527
-0.05875,0.517974,0.020904,0.353313,0.197405
-0.05625,0.524945,0.0225504,0.345655,0.170659
-0.05375,0.548383,0.0267445,0.327679,0.140238
-0.05125,0.598633,0.03609,0.293857,0.104847
-0.04875,0.676013,0.0524251,0.246407,0.06493
-0.04625,0.763084,0.0735622,0.19683,0.0207756
-0.04375,0.83701,0.0939543,0.155803,-0.0255423
-0.04125,0.885654,0.109184,0.12673,-0.0704768
-0.03875,0.909156,0.118153,0.108034,-0.111048
-0.03625,0.913276,0.12195,0.0968258,-0.14585
-0.03375,0.904199,0.122219,0.0906177,-0.174758
-0.03125,0.886698,0.120359,0.087651,-0.198304
-0.02875,0.864045,0.117373,0.0867503,-0.217236
-0.02625,0.838397,0.113923,0.0871286,-0.232303
-0.02375,0.811158,0.110438,0.0882458,-0.244179
-0.02125,0.78318,0.107185,0.0897253,-0.253444
-0.01875,0.754947,0.10432,0.091303,-0.260581
-0.01625,0.726675,0.101927,0.0927991,-0.265983
-0.01375,0.698385,0.100032,0.0941011,-0.269976
-0.01125,0.669976,0.0986236,0.0951514,-0.27283
-0.00875,0.641289,0.0976611,0.0959367,-0.274773
-0.00625,0.612176,0.0970839,0.0964762,-0.275997
-0.00375,0.58255,0.0968225,0.0968106,-0.276666
-0.00125,0.552433,0.0968062,0.0969909,-0.276915
0.00125,0.521962,0.0969694,0.0970685,-0.276856
0.00375,0.491388,0.0972557,0.0970892,-0.276577
0.00625,0.461045,0.0976191,0.0970885,-0.276148
0.00875,0.431312,0.0980233,0.0970898,-0.275622
0.01125,0.402571,0.0984397,0.0971041,-0.275042
0.01375,0.375174,0.0988451,0.0971299,-0.274445
0.01625,0.349416,0.0992188,0.0971547,-0.273865
0.01875,0.325518,0.099541,0.0971554,-0.27334
0.02125,0.303623,0.0997916,0.0970995,-0.272907
0.02375,0.283801,0.0999489,0.0969466,-0.27261
0.02625,0.266056,0.0999897,0.0966493,-0.272496
0.02875,0.250334,0.0998893,0.0961553,-0.272615
0.03125,0.236543,0.0996219,0.0954083,-0.273021
0.03375,0.224558,0.0991613,0.0943494,-0.273769
0.03625,0.21423,0.0984811,0.0929178,-0.274911
0.03875,0.205402,0.0975552,0.0910512,-0.276501
0.04125,0.197903,0.0963584,0.088685,-0.278587
0.04375,0.191561,0.0948666,0.0857515,-0.281216
0.04625,0.186202,0.0930572,0.0821782,-0.284427
0.04875,0.181647,0.0909094,0.0778859,-0.288253
0.05125,0.177721,0.0884045,0.0727858,-0.29272
0.05375,0.174248,0.0855269,0.0667762,-0.297844
0.05625,0.171053,0.082264,0.0597389,-0.30363
0.05875,0.167967,0.0786076,0.0515338,-0.310072
0.06125,0.16483,0.0745544,0.0419932,-0.317145
0.06375,0.161488,0.0701072,0.0309137,-0.324814
0.06625,0.157803,0.0652756,0.0180463,-0.33302
0.06875,0.153652,0.0600783,0.00308517,-0.341685
0.07125,0.148926,0.0545455,-0.0143458,-0.350702
0.07375,0.143535,0.0487231,-0.0347023,-0.359932
0.07625,0.137412,0.0426829,-0.0585055,-0.369187
0.07875,0.130521,0.0365308,-0.0863063,-0.378228
0.08125,0.122883,0.0304255,-0.118528,-0.386754
0.08375,0.114615,0.0245855,-0.1552,-0.394421
0.08625,0.105979,0.0192822,-0.195474,-0.400903
0.08875,0.0974424,0.0148038,-0.237036,-0.405976
0.09125,0.0896476,0.0113634,-0.276029,-0.409618
0.09375,0.0832239,0.00899445,-0.308301,-0.412044
0.09625,0.0785037,0.00752842,-0.331556,-0.413623
0.09875,0.0753956,0.00669276,-0.346334,-0.414735
0.10125,0.0735286,0.0062367,-0.354886,-0.415673
0.10375,0.0724881,0.00598908,-0.35954,-0.416631
0.10625,0.0719534,0.0058518,-0.361936,-0.417735
0.10875,0.0717205,0.00577367,-0.363031,-0.41907
0.11125,0.071674,0.00572921,-0.363324,-0.420703
0.11375,0.0717541,0.00570605,-0.363053,-0.422692
0.11625,0.0719321,0.00569822,-0.362326,-0.425092
0.11875,0.0721955,0.00570285,-0.361178,-0.427955
0.12125,0.0725405,0.00571852,-0.359611,-0.431335
